,주택용 저압 기타계절,,,,,,,,,,,,,,,HP전기요금 연합계,기존난방비 연합계,난방비 Saving 비율
기본요금(원/호),,전력량요금(원/kWh),,,,,도시가스(컨덴싱)->HP,기본요금,사용량요금,기후환경요금,연료비조정요금,전기요금계,부가가치세,전력산업기반기금,청구요금합계,237920,599269.1583,60%
200kWh이하 사용, 910 ,처음 200kWh까지,120,,,,1,1600,44481,2658,1477,50216,5022,1350,56580,,,
201~400kWh 사용," 1,600 ",다음 200kWh까지,214.6,,,,2,1600,31007,2093,1163,35863,3586,960,40400,,,
400kWh초과 사용," 7,300 ",400kWh초과,307.3,,,,3,910,17754,1331,739,20734,2073,550,23350,,,
,,,,,,,4,910,8249,618,343,10120,1012,270,11400,,,
"1. 기타계절 : 1월 1일~6월 30일, 9월 1일~12월 31일",,,,,,,5,910,6113,458,254,7735,774,200,8700,,,
"2. 슈퍼유저요금 : 동계(12월 1일~2월 말일) 1,000kWh초과 전력량요금은 736.2원/kWh 적용",,,,,,,6,910,4528,339,188,5965,597,160,6720,,,
,,,,,,,7,910,4005,300,166,5381,538,140,6050,,,
,주택용 저압 하계,,,,,,8,910,3661,274,152,4997,500,130,5620,,,
기본요금(원/호),,전력량요금(원/kWh),,,,,9,910,3773,283,157,5123,512,130,5760,,,
300kWh이하 사용,910,처음 300kWh까지,120,,,,10,910,5991,449,249,7599,760,200,8550,,,
301~450kWh 사용,"1,600",다음 150kWh까지,214.6,,,,11,910,14488,1086,603,17087,1709,460,19250,,,
450kWh초과 사용,"7,300",450kWh초과,307.3,,,,12,1600,35278,2272,1262,40412,4041,1090,45540,,,
,,,,,,,도시가스(일반)->HP,기본요금,사용량요금,기후환경요금,연료비조정요금,전기요금계,부가가치세,전력산업기반기금,청구요금합계,209820,599269.1583,65%
1. 하계 : 7월 1일~8월 31일,,,,,,,1,1600,38279,2398,1332,43609,4361,1170,49140,,,
"2. 슈퍼유저요금 : 하계(7월 1일~8월 31일) 1,000kWh초과 전력량요금은 736.2원/kWh 적용",,,,,,,2,1600,26123,1889,1049,30661,3066,820,34540,,,
,,,,,,,3,910,16017,1201,667,18795,1880,500,21170,,,
,,,,,,,4,910,7442,558,310,9220,922,240,10380,,,
,,,,,,,5,910,5515,413,229,7067,707,190,7960,,,
,,,,,,,6,910,4085,306,170,5471,547,140,6150,,,
,,,,,,,7,910,3613,271,150,4944,494,130,5560,,,
,,,,,,,8,910,3303,247,137,4597,460,120,5170,,,
,,,,,,,9,910,3404,255,141,4710,471,120,5300,,,
,,,,,,,10,910,5405,405,225,6945,695,180,7820,,,
,,,,,,,11,910,13071,980,544,15505,1551,410,17460,,,
,,,,,,,12,1600,29976,2050,1139,34765,3477,930,39170,,,
,,,,,,,등유->HP,기본요금,사용량요금,기후환경요금,연료비조정요금,전기요금계,부가가치세,전력산업기반기금,청구요금합계,158160,599269.1583,74%
,,,,,,,1,1600,25877,1878,1043,30398,3040,820,34250,,,
,,,,,,,2,910,19726,1479,821,22936,2294,610,25840,,,
,,,,,,,3,910,12544,940,522,14916,1492,400,16800,,,
,,,,,,,4,910,5828,437,242,7417,742,200,8350,,,
,,,,,,,5,910,4319,323,179,5731,573,150,6450,,,
,,,,,,,6,910,3199,239,133,4481,448,120,5040,,,
,,,,,,,7,910,2830,212,117,4069,407,100,4570,,,
,,,,,,,8,910,2587,194,107,3798,380,100,4270,,,
,,,,,,,9,910,2666,199,111,3886,389,100,4370,,,
,,,,,,,10,910,4233,317,176,5636,564,150,6350,,,
,,,,,,,11,910,10237,767,426,12340,1234,330,13900,,,
,,,,,,,12,910,21413,1606,892,24821,2482,670,27970,,,
,,,,,,,LPG->HP,기본요금,사용량요금,기후환경요금,연료비조정요금,전기요금계,부가가치세,전력산업기반기금,청구요금합계,129580,599269.1583,78%
,,,,,,,1,910,20388,1529,849,23676,2368,630,26670,,,
,,,,,,,2,910,16055,1204,668,18837,1884,500,21220,,,
,,,,,,,3,910,10210,765,425,12310,1231,330,13870,,,
,,,,,,,4,910,4744,355,197,6206,621,160,6980,,,
,,,,,,,5,910,3515,263,146,4834,483,130,5440,,,
,,,,,,,6,910,2604,195,108,3817,382,100,4290,,,
,,,,,,,7,910,2303,172,95,3480,348,90,3910,,,
,,,,,,,8,910,2105,157,87,3259,326,80,3660,,,
,,,,,,,9,910,2170,162,90,3332,333,80,3740,,,
,,,,,,,10,910,3445,258,143,4756,476,120,5350,,,
,,,,,,,11,910,8332,624,347,10213,1021,270,11500,,,
,,,,,,,12,910,17428,1307,726,20371,2037,550,22950,,,
